enzymes	enzyme	complexes	reactions	direction	compartment	complexes_keff	complex_keff	enzyme_keff
enzyme_FCYTOB5OXR_fwd_pc	enzyme_FCYTOB5OXR_fwd	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc	FCYTOB5OXR	forward	pc	cplx_COMPLEX_CYB5R3_B5A_pc(126917.34778961359);cplx_COMPLEX_CYB5R3_B5B_pc(145557.0893798115)	126917.34778961359;145557.0893798115	234000.0
enzyme_FCYTOB5OXR_rev_pc	enzyme_FCYTOB5OXR_rev	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc	FCYTOB5OXR	reverse	pc	cplx_COMPLEX_CYB5R3_B5A_pc(0);cplx_COMPLEX_CYB5R3_B5B_pc(0)	0;0	234000.0
enzyme_METHBCYTBR_fwd_pc	enzyme_METHBCYTBR_fwd	cplx_COMPLEX_HBA_CYB5A_pc;cplx_COMPLEX_HBB_CYB5A_pc;cplx_COMPLEX_HBD_CYB5A_pc;cplx_COMPLEX_HBE1_CYB5A_pc;cplx_COMPLEX_HBG1_CYB5A_pc;cplx_COMPLEX_HBG2_CYB5A_pc;cplx_COMPLEX_HBM_CYB5A_pc;cplx_COMPLEX_HBQ1_CYB5A_pc;cplx_COMPLEX_HBZ_CYB5A_pc;cplx_COMPLEX_HBA_CYB5B_pc;cplx_COMPLEX_HBB_CYB5B_pc;cplx_COMPLEX_HBD_CYB5B_pc;cplx_COMPLEX_HBE1_CYB5B_pc;cplx_COMPLEX_HBG1_CYB5B_pc;cplx_COMPLEX_HBG2_CYB5B_pc;cplx_COMPLEX_HBM_CYB5B_pc;cplx_COMPLEX_HBQ1_CYB5B_pc;cplx_COMPLEX_HBZ_CYB5B_pc	METHBCYTBR	forward	pc	cplx_COMPLEX_HBA_CYB5A_pc(96886.68711243843);cplx_COMPLEX_HBB_CYB5A_pc(98302.51072136701);cplx_COMPLEX_HBD_CYB5A_pc(98415.60896719279);cplx_COMPLEX_HBE1_CYB5A_pc(98699.34101175185);cplx_COMPLEX_HBG1_CYB5A_pc(98551.28424038488);cplx_COMPLEX_HBG2_CYB5A_pc(98547.51239210031);cplx_COMPLEX_HBM_CYB5A_pc(97569.7324889397);cplx_COMPLEX_HBQ1_CYB5A_pc(97363.75973009705);cplx_COMPLEX_HBZ_CYB5A_pc(97613.77211433617);cplx_COMPLEX_HBA_CYB5B_pc(117093.25281982556);cplx_COMPLEX_HBB_CYB5B_pc(118423.15700314751);cplx_COMPLEX_HBD_CYB5B_pc(118529.45297888512);cplx_COMPLEX_HBE1_CYB5B_pc(118796.15933094131);cplx_COMPLEX_HBG1_CYB5B_pc(118656.97988751988);cplx_COMPLEX_HBG2_CYB5B_pc(118653.43439472212);cplx_COMPLEX_HBM_CYB5B_pc(117734.66961462113);cplx_COMPLEX_HBQ1_CYB5B_pc(117541.2148360397);cplx_COMPLEX_HBZ_CYB5B_pc(117776.03665352968)	96886.68711243843;98302.51072136701;98415.60896719279;98699.34101175185;98551.28424038488;98547.51239210031;97569.7324889397;97363.75973009705;97613.77211433617;117093.25281982556;118423.15700314751;118529.45297888512;118796.15933094131;118656.97988751988;118653.43439472212;117734.66961462113;117541.2148360397;117776.03665352968	234000.0
enzyme_METHBCYTBR_rev_pc	enzyme_METHBCYTBR_rev	cplx_COMPLEX_HBA_CYB5A_pc;cplx_COMPLEX_HBB_CYB5A_pc;cplx_COMPLEX_HBD_CYB5A_pc;cplx_COMPLEX_HBE1_CYB5A_pc;cplx_COMPLEX_HBG1_CYB5A_pc;cplx_COMPLEX_HBG2_CYB5A_pc;cplx_COMPLEX_HBM_CYB5A_pc;cplx_COMPLEX_HBQ1_CYB5A_pc;cplx_COMPLEX_HBZ_CYB5A_pc;cplx_COMPLEX_HBA_CYB5B_pc;cplx_COMPLEX_HBB_CYB5B_pc;cplx_COMPLEX_HBD_CYB5B_pc;cplx_COMPLEX_HBE1_CYB5B_pc;cplx_COMPLEX_HBG1_CYB5B_pc;cplx_COMPLEX_HBG2_CYB5B_pc;cplx_COMPLEX_HBM_CYB5B_pc;cplx_COMPLEX_HBQ1_CYB5B_pc;cplx_COMPLEX_HBZ_CYB5B_pc	METHBCYTBR	reverse	pc	cplx_COMPLEX_HBA_CYB5A_pc(0);cplx_COMPLEX_HBB_CYB5A_pc(0);cplx_COMPLEX_HBD_CYB5A_pc(0);cplx_COMPLEX_HBE1_CYB5A_pc(0);cplx_COMPLEX_HBG1_CYB5A_pc(0);cplx_COMPLEX_HBG2_CYB5A_pc(0);cplx_COMPLEX_HBM_CYB5A_pc(0);cplx_COMPLEX_HBQ1_CYB5A_pc(0);cplx_COMPLEX_HBZ_CYB5A_pc(0);cplx_COMPLEX_HBA_CYB5B_pc(0);cplx_COMPLEX_HBB_CYB5B_pc(0);cplx_COMPLEX_HBD_CYB5B_pc(0);cplx_COMPLEX_HBE1_CYB5B_pc(0);cplx_COMPLEX_HBG1_CYB5B_pc(0);cplx_COMPLEX_HBG2_CYB5B_pc(0);cplx_COMPLEX_HBM_CYB5B_pc(0);cplx_COMPLEX_HBQ1_CYB5B_pc(0);cplx_COMPLEX_HBZ_CYB5B_pc(0)	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	234000.0
enzyme_NaKt_fwd_pc	enzyme_NaKt_fwd	cplx_HETERODIMER_ATP1_A1B1_pc;cplx_HETERODIMER_ATP1_A1B2_pc;cplx_HETERODIMER_ATP1_A1B3_pc;cplx_HETERODIMER_ATP1_A3B1_pc;cplx_HETERODIMER_ATP1_A3B2_pc;cplx_HETERODIMER_ATP1_A3B3_pc;cplx_HETERODIMER_ATP1_A4B1_pc;cplx_HETERODIMER_ATP1_A4B2_pc;cplx_HETERODIMER_ATP1_A4B3_pc	NaKt	forward	pc	cplx_HETERODIMER_ATP1_A1B1_pc(269721.11650904216);cplx_HETERODIMER_ATP1_A1B2_pc(267398.37129081145);cplx_HETERODIMER_ATP1_A1B3_pc(264851.2024212261);cplx_HETERODIMER_ATP1_A3B1_pc(268146.3311156133);cplx_HETERODIMER_ATP1_A3B2_pc(265819.0213594166);cplx_HETERODIMER_ATP1_A3B3_pc(263266.7854515887);cplx_HETERODIMER_ATP1_A4B1_pc(271478.3470902613);cplx_HETERODIMER_ATP1_A4B2_pc(269160.6531659475);cplx_HETERODIMER_ATP1_A4B3_pc(266619.0909673236)	269721.11650904216;267398.37129081145;264851.2024212261;268146.3311156133;265819.0213594166;263266.7854515887;271478.3470902613;269160.6531659475;266619.0909673236	234000.0
enzyme_NaKt_rev_pc	enzyme_NaKt_rev	cplx_HETERODIMER_ATP1_A1B1_pc;cplx_HETERODIMER_ATP1_A1B2_pc;cplx_HETERODIMER_ATP1_A1B3_pc;cplx_HETERODIMER_ATP1_A3B1_pc;cplx_HETERODIMER_ATP1_A3B2_pc;cplx_HETERODIMER_ATP1_A3B3_pc;cplx_HETERODIMER_ATP1_A4B1_pc;cplx_HETERODIMER_ATP1_A4B2_pc;cplx_HETERODIMER_ATP1_A4B3_pc	NaKt	reverse	pc	cplx_HETERODIMER_ATP1_A1B1_pc(0);cplx_HETERODIMER_ATP1_A1B2_pc(0);cplx_HETERODIMER_ATP1_A1B3_pc(0);cplx_HETERODIMER_ATP1_A3B1_pc(0);cplx_HETERODIMER_ATP1_A3B2_pc(0);cplx_HETERODIMER_ATP1_A3B3_pc(0);cplx_HETERODIMER_ATP1_A4B1_pc(0);cplx_HETERODIMER_ATP1_A4B2_pc(0);cplx_HETERODIMER_ATP1_A4B3_pc(0)	0;0;0;0;0;0;0;0;0	234000.0
enzyme_L_LACt2_fwd_pc	enzyme_L_LACt2_fwd	cplx_HETEROTETRAMER_SLC16A1_BSG_pc;cplx_HETEROTETRAMER_SLC16A7_BSG_pc;cplx_HETEROTETRAMER_SLC16A1_EMB_pc;cplx_HETEROTETRAMER_SLC16A7_EMB_pc;cplx_HOMODIMER_SLC16A1_pc;cplx_HOMODIMER_SLC16A7_pc	L_LACt2	forward	pc	cplx_HETEROTETRAMER_SLC16A1_BSG_pc(328323.82174077845);cplx_HETEROTETRAMER_SLC16A7_BSG_pc(323859.9032286555);cplx_HETEROTETRAMER_SLC16A1_EMB_pc(314631.65941146744);cplx_HETEROTETRAMER_SLC16A7_EMB_pc(310103.29815590923);cplx_HOMODIMER_SLC16A1_pc(212883.43219428806);cplx_HOMODIMER_SLC16A7_pc(207716.67414451085)	328323.82174077845;323859.9032286555;314631.65941146744;310103.29815590923;212883.43219428806;207716.67414451085	234000.0
enzyme_L_LACt2_rev_pc	enzyme_L_LACt2_rev	cplx_HETEROTETRAMER_SLC16A1_BSG_pc;cplx_HETEROTETRAMER_SLC16A7_BSG_pc;cplx_HETEROTETRAMER_SLC16A1_EMB_pc;cplx_HETEROTETRAMER_SLC16A7_EMB_pc;cplx_HOMODIMER_SLC16A1_pc;cplx_HOMODIMER_SLC16A7_pc	L_LACt2	reverse	pc	cplx_HETEROTETRAMER_SLC16A1_BSG_pc(328323.82174077845);cplx_HETEROTETRAMER_SLC16A7_BSG_pc(323859.9032286555);cplx_HETEROTETRAMER_SLC16A1_EMB_pc(314631.65941146744);cplx_HETEROTETRAMER_SLC16A7_EMB_pc(310103.29815590923);cplx_HOMODIMER_SLC16A1_pc(212883.43219428806);cplx_HOMODIMER_SLC16A7_pc(207716.67414451085)	328323.82174077845;323859.9032286555;314631.65941146744;310103.29815590923;212883.43219428806;207716.67414451085	234000.0
enzyme_PYRt2_fwd_pc	enzyme_PYRt2_fwd	cplx_HETEROTETRAMER_SLC16A1_BSG_pc;cplx_HETEROTETRAMER_SLC16A7_BSG_pc;cplx_HETEROTETRAMER_SLC16A1_EMB_pc;cplx_HETEROTETRAMER_SLC16A7_EMB_pc;cplx_HOMODIMER_SLC16A1_pc;cplx_HOMODIMER_SLC16A7_pc	PYRt2	forward	pc	cplx_HETEROTETRAMER_SLC16A1_BSG_pc(328323.82174077845);cplx_HETEROTETRAMER_SLC16A7_BSG_pc(323859.9032286555);cplx_HETEROTETRAMER_SLC16A1_EMB_pc(314631.65941146744);cplx_HETEROTETRAMER_SLC16A7_EMB_pc(310103.29815590923);cplx_HOMODIMER_SLC16A1_pc(212883.43219428806);cplx_HOMODIMER_SLC16A7_pc(207716.67414451085)	328323.82174077845;323859.9032286555;314631.65941146744;310103.29815590923;212883.43219428806;207716.67414451085	234000.0
enzyme_PYRt2_rev_pc	enzyme_PYRt2_rev	cplx_HETEROTETRAMER_SLC16A1_BSG_pc;cplx_HETEROTETRAMER_SLC16A7_BSG_pc;cplx_HETEROTETRAMER_SLC16A1_EMB_pc;cplx_HETEROTETRAMER_SLC16A7_EMB_pc;cplx_HOMODIMER_SLC16A1_pc;cplx_HOMODIMER_SLC16A7_pc	PYRt2	reverse	pc	cplx_HETEROTETRAMER_SLC16A1_BSG_pc(328323.82174077845);cplx_HETEROTETRAMER_SLC16A7_BSG_pc(323859.9032286555);cplx_HETEROTETRAMER_SLC16A1_EMB_pc(314631.65941146744);cplx_HETEROTETRAMER_SLC16A7_EMB_pc(310103.29815590923);cplx_HOMODIMER_SLC16A1_pc(212883.43219428806);cplx_HOMODIMER_SLC16A7_pc(207716.67414451085)	328323.82174077845;323859.9032286555;314631.65941146744;310103.29815590923;212883.43219428806;207716.67414451085	234000.0
