enzyme	complex	complex_keff	compartment	reactions	direction
enzyme_ADA_fwd	cplx_MONOMER_ADA	88357.08414932985	pc	ADA	adn_c + h2o_c + h_c --> ins_c + nh4_c
enzyme_ADA_rev	cplx_MONOMER_ADA	0	pc	ADA	adn_c + h2o_c + h_c <-- ins_c + nh4_c
enzyme_ADEt_fwd	cplx_MONOMER_SLC29A1	103346.8774821532	pc	ADEt	ade_c --> ade_e
enzyme_ADEt_fwd	cplx_MONOMER_SLC43A3	109931.59922629895	pc	ADEt	ade_c --> ade_e
enzyme_ADEt_rev	cplx_MONOMER_SLC29A1	103346.8774821532	pc	ADEt	ade_c <-- ade_e
enzyme_ADEt_rev	cplx_MONOMER_SLC43A3	109931.59922629895	pc	ADEt	ade_c <-- ade_e
enzyme_ADK1_fwd	cplx_MONOMER_AK1	54956.83338631623	pc	ADK1	amp_c + atp_c --> 2.0 adp_c
enzyme_ADK1_rev	cplx_MONOMER_AK1	54956.83338631623	pc	ADK1	amp_c + atp_c <-- 2.0 adp_c
enzyme_ADNK1_fwd	cplx_MONOMER_ADK	88010.57503755676	pc	ADNK1	adn_c + atp_c --> adp_c + amp_c + h_c
enzyme_ADNK1_rev	cplx_MONOMER_ADK	0	pc	ADNK1	adn_c + atp_c <-- adp_c + amp_c + h_c
enzyme_ADNt_fwd	cplx_MONOMER_SLC29A1	103346.8774821532	pc	ADNt	adn_c --> adn_e
enzyme_ADNt_rev	cplx_MONOMER_SLC29A1	103346.8774821532	pc	ADNt	adn_c <-- adn_e
enzyme_ADPT_fwd	cplx_HOMODIMER_APRT	85836.24536200915	pc	ADPT	ade_c + prpp_c --> amp_c + ppi_c
enzyme_ADPT_rev	cplx_HOMODIMER_APRT	0	pc	ADPT	ade_c + prpp_c <-- amp_c + ppi_c
enzyme_AMPDA_fwd	cplx_HOMOTETRAMER_AMPD3	448213.19053820166	pc	AMPDA	amp_c + h2o_c + h_c --> imp_c + nh4_c
enzyme_AMPDA_rev	cplx_HOMOTETRAMER_AMPD3	0	pc	AMPDA	amp_c + h2o_c + h_c <-- imp_c + nh4_c
enzyme_BILIREDy_fwd	cplx_MONOMER_BLVRA	76148.09240728492	pc	BILIREDy	biliverd_c + h_c + nadph_c --> bilirub_c + nadp_c
enzyme_BILIREDy_fwd	cplx_MONOMER_BLVRB	55871.46580049591	pc	BILIREDy	biliverd_c + h_c + nadph_c --> bilirub_c + nadp_c
enzyme_BILIREDy_rev	cplx_MONOMER_BLVRA	0	pc	BILIREDy	biliverd_c + h_c + nadph_c <-- bilirub_c + nadp_c
enzyme_BILIREDy_rev	cplx_MONOMER_BLVRB	0	pc	BILIREDy	biliverd_c + h_c + nadph_c <-- bilirub_c + nadp_c
enzyme_BILRUBABCte_fwd	cplx_MONOMER_ABCC4	234242.2199763476	pc	BILRUBABCte	atp_c + bilirub_c + h2o_c --> adp_c + bilirub_e + h_c + pi_c
enzyme_BILRUBABCte_rev	cplx_MONOMER_ABCC4	0	pc	BILRUBABCte	atp_c + bilirub_c + h2o_c <-- adp_c + bilirub_e + h_c + pi_c
enzyme_CA2t_fwd	cplx_HOMODIMER_TRPC6	305027.78023543546	pc	CA2t	ca2_e --> ca2_c
enzyme_CA2t_fwd	cplx_HOMODIMER_VDAC1	120375.5423249257	pc	CA2t	ca2_e --> ca2_c
enzyme_CA2t_fwd	cplx_HOMOHEPTAMER_PANX1	430207.3936944364	pc	CA2t	ca2_e --> ca2_c
enzyme_CA2t_fwd	cplx_HOMOTETRAMER_GRIA1	495485.7514970548	pc	CA2t	ca2_e --> ca2_c
