enzyme	enzyme_keff	reactions	direction
enzyme_ADA_fwd	234000.0	ADA	adn_c + h2o_c + h_c --> ins_c + nh4_c
enzyme_ADA_rev	234000.0	ADA	adn_c + h2o_c + h_c <-- ins_c + nh4_c
enzyme_ADEt_fwd	234000.0	ADEt	ade_c --> ade_e
enzyme_ADEt_rev	234000.0	ADEt	ade_c <-- ade_e
enzyme_ADK1_fwd	234000.0	ADK1	amp_c + atp_c --> 2.0 adp_c
enzyme_ADK1_rev	234000.0	ADK1	amp_c + atp_c <-- 2.0 adp_c
enzyme_ADNK1_fwd	234000.0	ADNK1	adn_c + atp_c --> adp_c + amp_c + h_c
enzyme_ADNK1_rev	234000.0	ADNK1	adn_c + atp_c <-- adp_c + amp_c + h_c
enzyme_ADNt_fwd	234000.0	ADNt	adn_c --> adn_e
enzyme_ADNt_rev	234000.0	ADNt	adn_c <-- adn_e
enzyme_ADPT_fwd	234000.0	ADPT	ade_c + prpp_c --> amp_c + ppi_c
enzyme_ADPT_rev	234000.0	ADPT	ade_c + prpp_c <-- amp_c + ppi_c
enzyme_AMPDA_fwd	234000.0	AMPDA	amp_c + h2o_c + h_c --> imp_c + nh4_c
enzyme_AMPDA_rev	234000.0	AMPDA	amp_c + h2o_c + h_c <-- imp_c + nh4_c
enzyme_BILIREDy_fwd	234000.0	BILIREDy	biliverd_c + h_c + nadph_c --> bilirub_c + nadp_c
enzyme_BILIREDy_rev	234000.0	BILIREDy	biliverd_c + h_c + nadph_c <-- bilirub_c + nadp_c
enzyme_BILRUBABCte_fwd	234000.0	BILRUBABCte	atp_c + bilirub_c + h2o_c --> adp_c + bilirub_e + h_c + pi_c
enzyme_BILRUBABCte_rev	234000.0	BILRUBABCte	atp_c + bilirub_c + h2o_c <-- adp_c + bilirub_e + h_c + pi_c
enzyme_CA2t_fwd	234000.0	CA2t	ca2_e --> ca2_c
enzyme_CA2t_rev	234000.0	CA2t	ca2_e <-- ca2_c
enzyme_CAATPS1_fwd	234000.0	CAATPS1	atp_c + ca2_c + h2o_c --> adp_c + ca2_e + h_c + pi_c
enzyme_CAATPS1_rev	234000.0	CAATPS1	atp_c + ca2_c + h2o_c <-- adp_c + ca2_e + h_c + pi_c
enzyme_CO2t_fwd	234000.0	CO2t	co2_c --> co2_e
enzyme_CO2t_rev	234000.0	CO2t	co2_c <-- co2_e
enzyme_DPGM_fwd	234000.0	DPGM	13dpg_c --> 23dpg_c + h_c
enzyme_DPGM_rev	234000.0	DPGM	13dpg_c <-- 23dpg_c + h_c
enzyme_DPGase_fwd	234000.0	DPGase	23dpg_c + h2o_c --> 3pg_c + pi_c
enzyme_DPGase_rev	234000.0	DPGase	23dpg_c + h2o_c <-- 3pg_c + pi_c
enzyme_ENO_fwd	234000.0	ENO	2pg_c --> h2o_c + pep_c
enzyme_ENO_rev	234000.0	ENO	2pg_c <-- h2o_c + pep_c
enzyme_FBA_fwd	234000.0	FBA	fdp_c --> dhap_c + g3p_c
enzyme_FBA_rev	234000.0	FBA	fdp_c <-- dhap_c + g3p_c
enzyme_FCYTOB5OXR_fwd	234000.0	FCYTOB5OXR	2.0 ficytb5_c + nadh_c --> 2.0 focytb5_c + h_c + nad_c
enzyme_FCYTOB5OXR_rev	234000.0	FCYTOB5OXR	2.0 ficytb5_c + nadh_c <-- 2.0 focytb5_c + h_c + nad_c
enzyme_FE3RD_fwd	234000.0	FE3RD	2.0 fe3_c + nadph_c --> 2.0 fe2_c + h_c + nadp_c
enzyme_FE3RD_rev	234000.0	FE3RD	2.0 fe3_c + nadph_c <-- 2.0 fe2_c + h_c + nadp_c
enzyme_G6PDH2_fwd	234000.0	G6PDH2	g6p_c + nadp_c --> 6pgl_c + h_c + nadph_c
enzyme_G6PDH2_rev	234000.0	G6PDH2	g6p_c + nadp_c <-- 6pgl_c + h_c + nadph_c
enzyme_GAPD_fwd	234000.0	GAPD	g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c
enzyme_GAPD_rev	234000.0	GAPD	g3p_c + nad_c + pi_c <-- 13dpg_c + h_c + nadh_c
