enzymes	enzyme	complexes	reactions	direction	compartment	complexes_keff	complex_keff	enzyme_keff
enzyme_FCYTOB5OXR_fwd_pc	enzyme_FCYTOB5OXR_fwd	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc	FCYTOB5OXR	forward	pc	cplx_COMPLEX_CYB5R3_B5A_pc(109340.65544885385);cplx_COMPLEX_CYB5R3_B5B_pc(125398.99261366726)	109340.65544885385;125398.99261366726	234000.0
enzyme_FCYTOB5OXR_rev_pc	enzyme_FCYTOB5OXR_rev	cplx_COMPLEX_CYB5R3_B5A_pc;cplx_COMPLEX_CYB5R3_B5B_pc	FCYTOB5OXR	reverse	pc	cplx_COMPLEX_CYB5R3_B5A_pc(0);cplx_COMPLEX_CYB5R3_B5B_pc(0)	0;0	234000.0
enzyme_METHBCYTBR_fwd_pc	enzyme_METHBCYTBR_fwd	cplx_COMPLEX_HBA_CYB5A_pc;cplx_COMPLEX_HBB_CYB5A_pc;cplx_COMPLEX_HBD_CYB5A_pc;cplx_COMPLEX_HBE1_CYB5A_pc;cplx_COMPLEX_HBG1_CYB5A_pc;cplx_COMPLEX_HBG2_CYB5A_pc;cplx_COMPLEX_HBM_CYB5A_pc;cplx_COMPLEX_HBQ1_CYB5A_pc;cplx_COMPLEX_HBZ_CYB5A_pc;cplx_COMPLEX_HBA_CYB5B_pc;cplx_COMPLEX_HBB_CYB5B_pc;cplx_COMPLEX_HBD_CYB5B_pc;cplx_COMPLEX_HBE1_CYB5B_pc;cplx_COMPLEX_HBG1_CYB5B_pc;cplx_COMPLEX_HBG2_CYB5B_pc;cplx_COMPLEX_HBM_CYB5B_pc;cplx_COMPLEX_HBQ1_CYB5B_pc;cplx_COMPLEX_HBZ_CYB5B_pc	METHBCYTBR	forward	pc	cplx_COMPLEX_HBA_CYB5A_pc(83468.91940022857);cplx_COMPLEX_HBB_CYB5A_pc(84688.66661443001);cplx_COMPLEX_HBD_CYB5A_pc(84786.10196542084);cplx_COMPLEX_HBE1_CYB5A_pc(85030.54016291104);cplx_COMPLEX_HBG1_CYB5A_pc(84902.98766747328);cplx_COMPLEX_HBG2_CYB5A_pc(84899.73817974863);cplx_COMPLEX_HBM_CYB5A_pc(84057.37031311532);cplx_COMPLEX_HBQ1_CYB5A_pc(83879.92257371094);cplx_COMPLEX_HBZ_CYB5A_pc(84095.31092242076);cplx_COMPLEX_HBA_CYB5B_pc(100877.09233556666);cplx_COMPLEX_HBB_CYB5B_pc(102022.81904370464);cplx_COMPLEX_HBD_CYB5B_pc(102114.39416610627);cplx_COMPLEX_HBE1_CYB5B_pc(102344.16454702016);cplx_COMPLEX_HBG1_CYB5B_pc(102224.25996475662);cplx_COMPLEX_HBG2_CYB5B_pc(102221.20548470998);cplx_COMPLEX_HBM_CYB5B_pc(101429.6797791296);cplx_COMPLEX_HBQ1_CYB5B_pc(101263.01641389074);cplx_COMPLEX_HBZ_CYB5B_pc(101465.31792653036)	83468.91940022857;84688.66661443001;84786.10196542084;85030.54016291104;84902.98766747328;84899.73817974863;84057.37031311532;83879.92257371094;84095.31092242076;100877.09233556666;102022.81904370464;102114.39416610627;102344.16454702016;102224.25996475662;102221.20548470998;101429.6797791296;101263.01641389074;101465.31792653036	234000.0
enzyme_METHBCYTBR_rev_pc	enzyme_METHBCYTBR_rev	cplx_COMPLEX_HBA_CYB5A_pc;cplx_COMPLEX_HBB_CYB5A_pc;cplx_COMPLEX_HBD_CYB5A_pc;cplx_COMPLEX_HBE1_CYB5A_pc;cplx_COMPLEX_HBG1_CYB5A_pc;cplx_COMPLEX_HBG2_CYB5A_pc;cplx_COMPLEX_HBM_CYB5A_pc;cplx_COMPLEX_HBQ1_CYB5A_pc;cplx_COMPLEX_HBZ_CYB5A_pc;cplx_COMPLEX_HBA_CYB5B_pc;cplx_COMPLEX_HBB_CYB5B_pc;cplx_COMPLEX_HBD_CYB5B_pc;cplx_COMPLEX_HBE1_CYB5B_pc;cplx_COMPLEX_HBG1_CYB5B_pc;cplx_COMPLEX_HBG2_CYB5B_pc;cplx_COMPLEX_HBM_CYB5B_pc;cplx_COMPLEX_HBQ1_CYB5B_pc;cplx_COMPLEX_HBZ_CYB5B_pc	METHBCYTBR	reverse	pc	cplx_COMPLEX_HBA_CYB5A_pc(0);cplx_COMPLEX_HBB_CYB5A_pc(0);cplx_COMPLEX_HBD_CYB5A_pc(0);cplx_COMPLEX_HBE1_CYB5A_pc(0);cplx_COMPLEX_HBG1_CYB5A_pc(0);cplx_COMPLEX_HBG2_CYB5A_pc(0);cplx_COMPLEX_HBM_CYB5A_pc(0);cplx_COMPLEX_HBQ1_CYB5A_pc(0);cplx_COMPLEX_HBZ_CYB5A_pc(0);cplx_COMPLEX_HBA_CYB5B_pc(0);cplx_COMPLEX_HBB_CYB5B_pc(0);cplx_COMPLEX_HBD_CYB5B_pc(0);cplx_COMPLEX_HBE1_CYB5B_pc(0);cplx_COMPLEX_HBG1_CYB5B_pc(0);cplx_COMPLEX_HBG2_CYB5B_pc(0);cplx_COMPLEX_HBM_CYB5B_pc(0);cplx_COMPLEX_HBQ1_CYB5B_pc(0);cplx_COMPLEX_HBZ_CYB5B_pc(0)	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	234000.0
enzyme_NaKt_fwd_pc	enzyme_NaKt_fwd	cplx_HETERODIMER_ATP1_A1B1_pc;cplx_HETERODIMER_ATP1_A1B2_pc;cplx_HETERODIMER_ATP1_A1B3_pc;cplx_HETERODIMER_ATP1_A3B1_pc;cplx_HETERODIMER_ATP1_A3B2_pc;cplx_HETERODIMER_ATP1_A3B3_pc;cplx_HETERODIMER_ATP1_A4B1_pc;cplx_HETERODIMER_ATP1_A4B2_pc;cplx_HETERODIMER_ATP1_A4B3_pc	NaKt	forward	pc	cplx_HETERODIMER_ATP1_A1B1_pc(232367.63280290356);cplx_HETERODIMER_ATP1_A1B2_pc(230366.56290170274);cplx_HETERODIMER_ATP1_A1B3_pc(228172.1496194377);cplx_HETERODIMER_ATP1_A3B1_pc(231010.9383075678);cplx_HETERODIMER_ATP1_A3B2_pc(229005.93600798547);cplx_HETERODIMER_ATP1_A3B3_pc(226807.1574179649);cplx_HETERODIMER_ATP1_A4B1_pc(233881.5057830085);cplx_HETERODIMER_ATP1_A4B2_pc(231884.78762565792);cplx_HETERODIMER_ATP1_A4B3_pc(229695.2045505197)	232367.63280290356;230366.56290170274;228172.1496194377;231010.9383075678;229005.93600798547;226807.1574179649;233881.5057830085;231884.78762565792;229695.2045505197	234000.0
enzyme_NaKt_rev_pc	enzyme_NaKt_rev	cplx_HETERODIMER_ATP1_A1B1_pc;cplx_HETERODIMER_ATP1_A1B2_pc;cplx_HETERODIMER_ATP1_A1B3_pc;cplx_HETERODIMER_ATP1_A3B1_pc;cplx_HETERODIMER_ATP1_A3B2_pc;cplx_HETERODIMER_ATP1_A3B3_pc;cplx_HETERODIMER_ATP1_A4B1_pc;cplx_HETERODIMER_ATP1_A4B2_pc;cplx_HETERODIMER_ATP1_A4B3_pc	NaKt	reverse	pc	cplx_HETERODIMER_ATP1_A1B1_pc(0);cplx_HETERODIMER_ATP1_A1B2_pc(0);cplx_HETERODIMER_ATP1_A1B3_pc(0);cplx_HETERODIMER_ATP1_A3B1_pc(0);cplx_HETERODIMER_ATP1_A3B2_pc(0);cplx_HETERODIMER_ATP1_A3B3_pc(0);cplx_HETERODIMER_ATP1_A4B1_pc(0);cplx_HETERODIMER_ATP1_A4B2_pc(0);cplx_HETERODIMER_ATP1_A4B3_pc(0)	0;0;0;0;0;0;0;0;0	234000.0
enzyme_L_LACt2_fwd_pc	enzyme_L_LACt2_fwd	cplx_HETEROTETRAMER_SLC16A1_BSG_pc;cplx_HETEROTETRAMER_SLC16A7_BSG_pc;cplx_HETEROTETRAMER_SLC16A1_EMB_pc;cplx_HETEROTETRAMER_SLC16A7_EMB_pc;cplx_HOMODIMER_SLC16A1_pc;cplx_HOMODIMER_SLC16A7_pc	L_LACt2	forward	pc	cplx_HETEROTETRAMER_SLC16A1_BSG_pc(282854.491476753);cplx_HETEROTETRAMER_SLC16A7_BSG_pc(279008.7778332968);cplx_HETEROTETRAMER_SLC16A1_EMB_pc(271058.5468744385);cplx_HETEROTETRAMER_SLC16A7_EMB_pc(267157.31511680124);cplx_HOMODIMER_SLC16A1_pc(183401.35856691742);cplx_HOMODIMER_SLC16A7_pc(178950.14112858303)	282854.491476753;279008.7778332968;271058.5468744385;267157.31511680124;183401.35856691742;178950.14112858303	234000.0
enzyme_L_LACt2_rev_pc	enzyme_L_LACt2_rev	cplx_HETEROTETRAMER_SLC16A1_BSG_pc;cplx_HETEROTETRAMER_SLC16A7_BSG_pc;cplx_HETEROTETRAMER_SLC16A1_EMB_pc;cplx_HETEROTETRAMER_SLC16A7_EMB_pc;cplx_HOMODIMER_SLC16A1_pc;cplx_HOMODIMER_SLC16A7_pc	L_LACt2	reverse	pc	cplx_HETEROTETRAMER_SLC16A1_BSG_pc(282854.491476753);cplx_HETEROTETRAMER_SLC16A7_BSG_pc(279008.7778332968);cplx_HETEROTETRAMER_SLC16A1_EMB_pc(271058.5468744385);cplx_HETEROTETRAMER_SLC16A7_EMB_pc(267157.31511680124);cplx_HOMODIMER_SLC16A1_pc(183401.35856691742);cplx_HOMODIMER_SLC16A7_pc(178950.14112858303)	282854.491476753;279008.7778332968;271058.5468744385;267157.31511680124;183401.35856691742;178950.14112858303	234000.0
enzyme_PYRt2_fwd_pc	enzyme_PYRt2_fwd	cplx_HETEROTETRAMER_SLC16A1_BSG_pc;cplx_HETEROTETRAMER_SLC16A7_BSG_pc;cplx_HETEROTETRAMER_SLC16A1_EMB_pc;cplx_HETEROTETRAMER_SLC16A7_EMB_pc;cplx_HOMODIMER_SLC16A1_pc;cplx_HOMODIMER_SLC16A7_pc	PYRt2	forward	pc	cplx_HETEROTETRAMER_SLC16A1_BSG_pc(282854.491476753);cplx_HETEROTETRAMER_SLC16A7_BSG_pc(279008.7778332968);cplx_HETEROTETRAMER_SLC16A1_EMB_pc(271058.5468744385);cplx_HETEROTETRAMER_SLC16A7_EMB_pc(267157.31511680124);cplx_HOMODIMER_SLC16A1_pc(183401.35856691742);cplx_HOMODIMER_SLC16A7_pc(178950.14112858303)	282854.491476753;279008.7778332968;271058.5468744385;267157.31511680124;183401.35856691742;178950.14112858303	234000.0
enzyme_PYRt2_rev_pc	enzyme_PYRt2_rev	cplx_HETEROTETRAMER_SLC16A1_BSG_pc;cplx_HETEROTETRAMER_SLC16A7_BSG_pc;cplx_HETEROTETRAMER_SLC16A1_EMB_pc;cplx_HETEROTETRAMER_SLC16A7_EMB_pc;cplx_HOMODIMER_SLC16A1_pc;cplx_HOMODIMER_SLC16A7_pc	PYRt2	reverse	pc	cplx_HETEROTETRAMER_SLC16A1_BSG_pc(282854.491476753);cplx_HETEROTETRAMER_SLC16A7_BSG_pc(279008.7778332968);cplx_HETEROTETRAMER_SLC16A1_EMB_pc(271058.5468744385);cplx_HETEROTETRAMER_SLC16A7_EMB_pc(267157.31511680124);cplx_HOMODIMER_SLC16A1_pc(183401.35856691742);cplx_HOMODIMER_SLC16A7_pc(178950.14112858303)	282854.491476753;279008.7778332968;271058.5468744385;267157.31511680124;183401.35856691742;178950.14112858303	234000.0
enzyme_ADPT_fwd_pc	enzyme_ADPT_fwd	cplx_HOMODIMER_APRT_pc	ADPT	forward	pc	cplx_HOMODIMER_APRT_pc(85836.24536200915)	85836.24536200915	234000.0
enzyme_ADPT_rev_pc	enzyme_ADPT_rev	cplx_HOMODIMER_APRT_pc	ADPT	reverse	pc	cplx_HOMODIMER_APRT_pc(0)	0	234000.0
enzyme_DPGase_fwd_pc	enzyme_DPGase_fwd	cplx_HOMODIMER_BPGM_pc	DPGase	forward	pc	cplx_HOMODIMER_BPGM_pc(118096.46502332822)	118096.46502332822	234000.0
enzyme_DPGase_rev_pc	enzyme_DPGase_rev	cplx_HOMODIMER_BPGM_pc	DPGase	reverse	pc	cplx_HOMODIMER_BPGM_pc(0)	0	234000.0
enzyme_DPGM_fwd_pc	enzyme_DPGM_fwd	cplx_HOMODIMER_BPGM_pc;cplx_HOMODIMER_PGAM1_pc	DPGM	forward	pc	cplx_HOMODIMER_BPGM_pc(118096.46502332822);cplx_HOMODIMER_PGAM1_pc(114540.89312828587)	118096.46502332822;114540.89312828587	234000.0
enzyme_DPGM_rev_pc	enzyme_DPGM_rev	cplx_HOMODIMER_BPGM_pc;cplx_HOMODIMER_PGAM1_pc	DPGM	reverse	pc	cplx_HOMODIMER_BPGM_pc(118096.46502332822);cplx_HOMODIMER_PGAM1_pc(114540.89312828587)	118096.46502332822;114540.89312828587	234000.0
enzyme_PGM_fwd_pc	enzyme_PGM_fwd	cplx_HOMODIMER_BPGM_pc;cplx_HOMODIMER_PGAM1_pc	PGM	forward	pc	cplx_HOMODIMER_BPGM_pc(118096.46502332822);cplx_HOMODIMER_PGAM1_pc(114540.89312828587)	118096.46502332822;114540.89312828587	234000.0
