reactions	name	reaction	gene_reaction_rule
ADA	Adenosine deaminase	adn_c + h2o_c + h_c --> ins_c + nh4_c	
ADEt	Adenine transport via facilitated diffusion	ade_c <=> ade_e	
ADK1	Adenylate kinase (AMP:ATP)	amp_c + atp_c <=> 2.0 adp_c	
ADNK1	Adenosine kinase	adn_c + atp_c --> adp_c + amp_c + h_c	
ADNt	Adenosine transport via facilitated diffusion	adn_c <=> adn_e	
ADPT	Adenine phosphoribosyltransferase	ade_c + prpp_c --> amp_c + ppi_c	
AMPDA	Adenosine monophosphate deaminase	amp_c + h2o_c + h_c --> imp_c + nh4_c	
BILIREDy	Biliverdin reductase (NADPH)	biliverd_c + h_c + nadph_c --> bilirub_c + nadp_c	
BILRUBABCte	ATP-binding Cassette (ABC) export of unconjugated billirubin	atp_c + bilirub_c + h2o_c --> adp_c + bilirub_e + h_c + pi_c	
CA2t	Calcium (II) import	ca2_e --> ca2_c	
CAATPS1	P-type Ca(2+) transporter (1:1 stoichiometry)	atp_c + ca2_c + h2o_c --> adp_c + ca2_e + h_c + pi_c	
CO2t	Transport of CO2	co2_c <=> co2_e	
DM_co_c	Carbon monoxide demand	co_c --> 	
DM_oh1_c	Hydroxide demand	oh1_c --> 	
DM_oh1r_c	Hydroxyl radical demand	oh1r_c --> 	
DPGM	Diphosphoglyceromutase	13dpg_c <=> 23dpg_c + h_c	
DPGase	2,3-bisphosphoglycerate 2-phosphatase	23dpg_c + h2o_c --> 3pg_c + pi_c	
ENO	Enolase	2pg_c <=> h2o_c + pep_c	
EX_ade_e	Adenine exchange	ade_e <=> 	
EX_adn_e	Adenosine exchange	adn_e <=> 	
EX_bilirub_e	Bilirubin exchange	bilirub_e <=> 	
EX_ca2_e	Calcium exchange	ca2_e <=> 	
EX_co2_e	CO2 exchange	co2_e <=> 	
EX_glc__D_e	beta-D-Glucose exchange	glc__D_e <=> 	
EX_h2o2_e	H2O2 exchange	h2o2_e <=> 	
EX_h2o_e	H2O exchange	h2o_e <=> 	
EX_h_e	H+ exchange	h_e <=> 	
EX_hxan_e	Hypoxanthine exchange	hxan_e <=> 	
EX_ins_e	Inosine exchange	ins_e <=> 	
EX_k_e	K+ exchange	k_e <=> 	
EX_lac__L_e	L-Lactate exchange	lac__L_e <=> 	
EX_na1_e	Sodium exchange	na1_e <=> 	
EX_nh4_e	Ammonium exchange	nh4_e <=> 	
EX_o2_e	O2 exchange	o2_e <=> 	
EX_pi_e	Orthophosphate exchange	pi_e <=> 	
EX_pyr_e	Pyruvate exchange	pyr_e <=> 	
FBA	Fructose-bisphosphate aldolase	fdp_c <=> dhap_c + g3p_c	
FCYTOB5OXR	NADH-cytochrome b5 reductase	2.0 ficytb5_c + nadh_c --> 2.0 focytb5_c + h_c + nad_c	
FE2H2O2X	Oxidation of iron (II) via hydrogen peroxide	fe2_c + h2o2_c --> fe3_c + oh1_c + oh1r_c	
FE2O2OX	Oxidation of Iron (II) via O2	fe2_c + o2_c <=> fe3_c + o2s_c	
FE3RD	Iron(III):NADP+ oxidoreductase	2.0 fe3_c + nadph_c --> 2.0 fe2_c + h_c + nadp_c	
G6PDH2	Glucose 6-phosphate dehydrogenase	g6p_c + nadp_c --> 6pgl_c + h_c + nadph_c	
GAPD	Glyceraldehyde-3-phosphate dehydrogenase	g3p_c + nad_c + pi_c <=> 13dpg_c + h_c + nadh_c	
GLC_Dt	Transport of beta-D-glucose	glc__D_c <=> glc__D_e	
GND	Phosphogluconate dehydrogenase	6pgc_c + nadp_c --> co2_c + nadph_c + ru5p__D_c	
GTHOy	Glutathione oxidoreductase (NADPH)	gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c	
GTHP	Glutathione peroxidase	2.0 gthrd_c + h2o2_c --> gthox_c + 2.0 h2o_c	
